操作时间,操作类型,操作内容,关联对象,操作状态,备注
2025-11-11 19:37:37.667,文件解密,批量解密文件,共4个文件,完成,成功4个，失败0个
2025-11-11 19:44:51.187,文件解密,人脸验证解密,共4个文件,失败,人脸验证未通过
2025-11-11 19:46:39.528,文件解密,解密单个文件,测试.docx.enc,成功,保存至：测试.docx
2025-11-11 19:46:39.573,文件解密,解密单个文件,测试.pptx.enc,成功,保存至：测试.pptx
2025-11-11 19:46:39.620,文件解密,解密单个文件,测试.txt.enc,成功,保存至：测试.txt
2025-11-11 19:46:39.665,文件解密,解密单个文件,测试.xlsx.enc,成功,保存至：测试.xlsx
2025-11-11 19:46:39.668,文件解密,批量解密文件,共4个文件,完成,成功4个，失败0个
2025-11-11 19:49:25.585,密钥管理,选择特征密钥文件,oliver的授权.feat,成功,路径：C:/Users/12154/Desktop/oliver的授权.feat
2025-11-11 19:51:20.912,文件解密,解密单个文件,测试.docx.enc,成功,保存至：测试_1.docx
2025-11-11 19:51:20.958,文件解密,解密单个文件,测试.pptx.enc,成功,保存至：测试_1.pptx
2025-11-11 19:51:21.003,文件解密,解密单个文件,测试.txt.enc,成功,保存至：测试_1.txt
2025-11-11 19:51:21.048,文件解密,解密单个文件,测试.xlsx.enc,成功,保存至：测试_1.xlsx
2025-11-11 19:51:21.050,文件解密,批量解密文件,共4个文件,完成,成功4个，失败0个
2025-11-11 19:59:38.942,人脸管理,录入新人脸,nick,成功,时间戳：1762862378
2025-11-11 20:10:04.708,文件信息查询,查询加密文件关联信息,测试.docx.enc,成功,文件路径：C:/Users/12154/Desktop/test_result/测试.docx.enc
2025-11-11 20:14:10.835,人脸管理,删除人脸数据,nick,成功,手动删除
2025-11-11 20:18:38.001,日志导出,导出操作日志,时间范围：无 至 无,成功,日志已导出至：C:/Users/12154/Desktop/111.csv
2025-11-11 20:23:25.823,人脸管理,覆盖人脸数据,oliver,成功,时间戳：1762863805
2025-11-12 15:54:17.764,日志导出,导出操作日志,时间范围：2025-11-10 12:00:00 至 2025-11-11 22:00:00,成功,日志已导出至：C:/Users/12154/Desktop/log.csv
